name,level,hp,ac,fortitude,reflex,will,attack_bonus,spell_dc,spell_attack_bonus
Mi-Go,6,120,24,+13,+17,+14,+15,,
Millindemalion,13,275,34,+20,+27,+23,"+27, +27",,
Mimic,4,75,20,+11,+9,+9,+14,,
Miner,0,20,14,+7,+5,+4,+6,,
Minister Of Tumult,14,"190 ( fast healing 10 ,  negative healing , one more breath)",36,+26,+24,+28,+29,34,
Minotaur Hunter,4,70,20,+13,+8,+10,"+14, +14",,
Mirror Wolf,7,117,24,+14,+19,+15,+17,22,
Misery Siktempora,12,160,32,+20,+23,+25,+26,29,
Mist Bear,7,140,24,+16,+13,+15,"+17, +17",,
Mist Stalker,4,58,20,+10,+12,+11,+14,,
Mitflit,-1,10,14,+2,+7,+4,"+8, +8",16,
Mithral Golem,16,220,40,+27,+30,+24,"+31, +31",,
Mix Couatl,8,135,27,+14,+15,+19,+20,26,18
Mjolgat,4,60,21,+14,+8,+8,"+10, +12",,
Mobogo,10,160,29,+22,+17,+19,"+23, +23",27,
Mocking Chorus,18,"340 ((body), hydra regeneration)",41,+33,+30,+30,"+35, +37",,
Mohrg,8,120 ( negative healing ),28,+18,+16,+13,"+20, +20",,
Mokele-Mbembe,9,172,27,+21,+15,+17,"+22, +22, +22",,
Monadic Deva,12,245,33,+24,+21,+20,+28,31,
Monkey,-1,9,14,+2,+7,+4,+7,,
Monkey Swarm,2,20,16,+6,+10,+6,,,
Monster Hunter,6,108,23,+15,+11,+13,"+14, +15",,
Moon Hag,10,190,29,+17,+19,+22,+23,29,
Moonflower,8,120 ( fast healing  10),24,+18,+10,+16,"+20, +20",,
Moose,3,50,18,+11,+10,+5,"+12, +12",,
Morlock,2,38,17,+7,+11,+9,"+8, +9, +9",,
Morrigna,15,240,38,+25,+27,+29,"+29, +31","35, 37",30
Morrowkin,14,320,34,+28,+25,+25,+29,,
Morthak,4,70,20,+14,+10,+10,"+10, +13, +13",,
Moss Sloth,2,40,18,+9,+3,+11,"+6, +9",,
Mother Mitera,8,140,25,+14,+17,+18,"+18, +18",26,18
Mothman,7,90,26,+13,+18,+15,+16,25,17
Mountain Oni,8,"165 (Weaknesses bean panic,  spirit  10)",26,+18,+15,+14,"+20, +21",25,
Movanic Deva,10,195,30,+21,+17,+19,+23,29,
Mu Spore,21,350,45,+38,+32,+38,"+40, +40",,
Mudwretch,2,40,16,+11,+4,+9,+10,,
Mukradi,15,300,37,+32,+23,+26,"+32, +32, +32, +32, +32",,
Mummified Cat,0,17 ( negative healing ),15,+8,+4,+7,"+8, +8",15,
Mummy Guardian,6,125 ( void healing ),23,+14,+10,+16,+16,,
Mummy Pharaoh,9,"175 (sacred wrappings,  void healing )",27,+19,+15,+20,"+20, +21",,
Mummy Prophet of Set,13,250 ( negative healing ),33,+22,+21,+25,"+24, +24, +25",33,25
Munagola,11,165,31,+23,+21,+20,"+23, +23, +24",27,
Munavri Spellblade,2,28,18,+8,+6,+7,+8,17,9
Munsahir Gatecrasher,4,65,22,+14,+6,+11,"+12, +12",,
Munsahir Trooper,5,85,22,+14,+10,+10,"+12, +14",,
Murajau,5,60,25,+15,+9,+11,"+14, +14, +14",,
Myceloid,4,70,20,+14,+9,+10,+14,,
Nabasu,8,165,27,+19,+16,+16,"+20, +20",26,
Nagaji Soldier,2,28,18,+9,+7,+6,"+7, +10",,
Naiad,1,20,14,+3,+6,+8,"+8, +8",17,
Naiad Queen,7,100,26,+15,+18,+17,"+18, +18","28, 28",18
Nalfeshnee,14,365,34,+28,+22,+23,"+29, +29",34,
Namorrodor,5,85,22,+12,+14,+11,"+14, +15, +15",,
Nanoshard Swarm,9,120,28,+17,+21,+16,+19,,
Narwhal,3,50,18,+9,+10,+8,"+12, +12",,
Nasurgeth,20,510 ( negative healing ),45,+35,+32,+36,"+39, +39",43,
Naunet,7,120 ( fast healing  2),24,+18,+14,+12,"+18, +18, +18",26,16
Navigator,2,28,18,+7,+8,+9,"+8, +8",,
Necromancer,5,58,20,+9,+12,+12,+12,"21, 21",13
Necrophidius,3,50,19,+7,+11,+9,+8,,
Nemhaith,15,"255 ( negative healing , rejuvenation)",36,+23,+27,+29,"+29, +29",36,28
Neothelid,15,345,37,+27,+23,+29,"+28, +28",38,30
Nereid,10,175,30,+16,+22,+18,+23,29,
Nessari,20,335,46,+37,+32,+35,"+36, +36, +38, +40",42,
Nessian Warhound,9,150,28,+21,+19,+16,+21,,
Night Hag,9,170,28,+19,+17,+18,"+20, +20",28,
Nightgaunt,4,60,21,+10,+13,+10,"+13, +13",,
Nightmarchers,14,240,30,+24,+19,+25,,31,
Nightmare,6,100,24,+15,+15,+12,"+16, +16",24,
Nightwood Guardian,9,200 (flesh of wood),26,+21,+16,+17,"+21, +21",,
Nikaramsa,14,315,35,+22,+25,+27,"+29, +29, +29",34,26
Nilith,10,150,32,+17,+20,+20,"+23, +23",29,
Nixie,1,25,16,+6,+10,+6,+7,17,9
Noble,3,45,18,+6,+10,+11,"+12, +12",,
Norn,20,375,46,+34,+30,+38,"+38, +38",42,
Nosferatu Malefactor,10,"135 ( fast healing  10,  negative healing , plagued coffin restoration)",30,+17,+21,+19,"+23, +23",29,
Nosferatu Overlord,15,"216 ( fast healing  15,  negative healing , plagued coffin restoration)",37,+23,+27,+29,"+30, +30",36,
Nosferatu Thrall,8,135 ( fast healing  5),27,+16,+17,+14,"+18, +19",,
Nosoi,1,18,16,+4,+8,+6,+6,16,
Noxious Needler,9,150,27,+20,+19,+15,"+20, +22",,
Nuckelavee,9,190,28,+19,+16,+20,"+20, +20, +21",28,
Nucol,4,75,20,+13,+10,+11,+12,20,
Nuglub,2,34,18,+9,+10,+5,"+11, +11",18,8
Nursery Crawler,3,48,18,+6,+4,+12,"+8, +9",,
Nyktera,-1,10,15,+2,+7,+6,"+7, +7",17,
Nyogoth,10,175,29,+20,+19,+16,"+23, +23",26,20
Obrousian,14,250 ( negative healing ),36,+25,+22,+28,+29,34,
Ochre Jelly,5,150,12,+15,+4,+7,+15,,
Ofalth,10,170 (filth wallow),31,+22,+17,+18,"+19, +23",,
Ogre Boss,7,130,25,+17,+12,+15,"+12, +19",,
Ogre Glutton,4,70,18,+14,+7,+6,"+14, +14",,
Ogre Spider,5,70,23,+15,+13,+9,"+13, +15",,
Ogre Warrior,3,50,17,+11,+6,+5,"+6, +12",,
Oil Living Graffiti,3,50,19,+8,+11,+7,"+11, +11",,
Olethrodaemon,20,450,44,+35,+32,+34,"+38, +38",42,34
Olobigonde,2,38,17,+10,+7,+5,+11,,
Omox,12,395,25,+23,+21,+20,"+23, +25",32,
Onidoshi,8,125,27,+18,+15,+15,"+17, +20, +21",24,
Onryo,12,180 ( negative healing ),32,+21,+23,+23,+25,32,
Ooze Mephit,1,24 ( fast healing  2 (when touching mud or slime)),14,+7,+4,+3,+8,17,
Orc Brute,0,15,15,+6,+4,+2,"+4, +7, +7",,
Orc Commander,2,32,19,+7,+6,+7,"+8, +10, +10",,
Orc Scrapper,0,18,14,+5,+4,+2,"+4, +7, +7",,
Orc Veteran,1,23,18,+8,+7,+4,"+5, +7, +7, +7",,
Orc Warchief,2,32,19,+7,+6,+7,"+8, +10, +10",,
Orc Warrior,1,23,18,+8,+7,+4,"+5, +7, +7, +7",,
Orca,5,75,21,+14,+11,+12,+13,,
Ore Louse,5,60,22,+13,+15,+10,"+14, +14, +14",,
Oread Guard,1,20,19,+7,+6,+5,"+6, +9",,
Oregorger,11,245,30,+24,+17,+20,"+23, +23",,
Ort,0,20,13,+9,+6,+2,+8,,
Ostiarius,5,67,21,+9,+15,+13,+13,24,
Ostovite,1,30,15,+6,+9,+4,"+9, +9",,
Osyluth,9,135,28,+17,+18,+17,"+21, +21, +21, +21",25,
Otyugh,4,70,20,+12,+8,+10,"+14, +14",,
Ouroboros,21,500,45,+38,+34,+33,"+37, +39, +39, +39",,
Ovinnik,4,59,20,+8,+13,+11,+13,21,
Owb,6,90,24,+14,+15,+13,"+16, +17",23,15
Owb Prophet,13,225,34,+25,+23,+24,"+25, +27",33,25
Owlbear,4,70,21,+13,+7,+11,"+14, +14",,
Pachycephalosaurus,3,65,17,+12,+11,+7,+11,,
Painted Stag,9,175,27,+18,+12,+21,"+20, +20",,
Pairaka,7,105,24,+12,+16,+17,+16,25,
Pakalchi,9,140,26,+17,+18,+20,"+18, +18, +18",30,
Palace Guard,4,60,22,+13,+8,+10,"+12, +14",,
Palace Skelm,8,155,27,+17,+16,+15,"+20, +20",26,
Pale Horse,11,180 ( void healing ),30,+20,+24,+21,"+24, +24",27,
Pale Sovereign,16,298 ( negative healing ),36,+26,+30,+28,+28,41,
Pale Stranger,10,155 ( negative healing ),29,+19,+21,+15,"+20, +21, +24",,
Paleohemoth,12,195,33,+26,+20,+18,+26,,
Pegasus,3,55,18,+9,+11,+7,"+10, +10",,
Pelegox Cube,11,210 (16 squares),31,+21,+24,+18,,,
Peluda,10,170,30,+21,+17,+19,"+23, +23, +23",,
Penanggalan,5,83,22,+9,+16,+11,"+14, +14",,
Peri,14,255,36,+22,+27,+26,"+29, +29, +29",34,26
Peryton,4,60,21,+8,+11,+13,"+14, +14",,
Petitioner,1,22,15,+7,+7,+7,,,
Phade,7,70,26,+14,+18,+11,+18,,
Phantasmal Minion,-1,4,13,+0,+4,+0,,,
Phantom Beast,8,120,26,+13,+18,+16,+18,28,20
Phantom Knight,4,45,21,+8,+12,+13,"+14, +14",,
Phistophilus,10,150,30,+18,+18,+23,"+21, +23",31,
Phoenix,15,300,36,+27,+31,+28,"+30, +30, +30",39,
Physician,-1,9,13,+9,+3,+8,"+5, +5",,
Picture-in-Cloud,13,175,35,+21,+26,+19,"+26, +26",,
Pine Pangolin,7,140,25,+15,+10,+18,"+17, +17",,
Pipefox,2,30,19,+8,+11,+7,+12,18,8
Piranha Swarm,3,40,16,+9,+10,+7,,,
Pirate,2,32,18,+7,+8,+6,"+10, +11, +11",,
Piscodaemon,10,200,28,+22,+16,+19,"+23, +23",29,
Pitborn Adept,3,29,17,+5,+7,+8,+6,"17, 21",11
Pixie,4,40,23,+8,+14,+12,"+13, +13",21,
Plague Doctor,5,73,20,+13,+8,+13,"+9, +10","23, 23",
Plague Giant,14,285,35,+27,+24,+23,"+28, +30, +31",34,
Plague Zombie,1,50 ( void healing ),13,+6,+3,+4,+9,,
Planetar,16,300,39,+28,+25,+28,+32,37,29
Platecarpus,3,46,19,+10,+11,+7,+12,,
Plated Python,12,215,33,+24,+20,+22,+24,,
Pleroma,20,335,45,+32,+31,+37,,47,39
Poacher,2,30,19,+7,+10,+7,"+8, +10",,
Polar Bear,5,73,22,+14,+10,+10,"+15, +15",,
Polong,8,100 ( negative healing ),24,+12,+18,+19,+20,,
Poltergeist,5,"55 ( void healing , rejuvenation)",22,+9,+14,+13,+13,23,13
Popobawa,15,270,37,+26,+24,+27,"+30, +30",36,28
Poracha,4,50,23,+9,+13,+10,"+13, +13",,
Predatory Rabbit,-1,6 ( negative healing ),16,+4,+8,+3,+8,,
Priest of Kabriri,5,63 ( negative healing ),19,+9,+9,+12,"+13, +13, +13","23, 23",13
Priest of Pharasma,6,80,21,+11,+11,+14,"+13, +13","24, 24",16
Prismhydra,16,"290 ((body), hydra regeneration   HP  36 (head), prismatic head regrowth;  Immunities  area damage;  Weaknesses  slashing 15)",30,+28,+26,+24,"+28, +31",,
Prisoner,1,17,17,+4,+9,+6,"+7, +7",,
Procyal,8,170,26,+16,+14,+18,"+18, +19","26, 26",18
Prophet,2,24,17,+8,+7,+11,"+7, +8, +8","18, 18",10
Protoceratops,2,30,17,+11,+8,+6,"+10, +10",,
Provincial Jiang-Shi,11,"130 ( fast healing 10 ,  negative healing , one more breath)",31,+21,+18,+24,"+22, +23",32,22
Prowler Wight,9,155 ( negative healing ),28,+17,+20,+16,"+20, +21",,
Pteranodon,2,25,16,+7,+10,+6,+10,,
Pufferfish,-1,12,12,+5,+3,+2,+6,,
Pugwampi,0,17,14,+5,+8,+6,"+8, +8",16,
Pukwudgie,7,100,25,+12,+15,+17,"+17, +18, +19",25,17
Purrodaemon,18,335,43,+33,+30,+29,"+35, +37",37,
Pusk,2,36,17,+10,+4,+8,"+10, +10",16,
Python,1,20,15,+8,+10,+4,+8,,
Qarna,4,65,22,+11,+10,+11,"+13, +14",21,
Quai Dau To,13,300,32,+26,+19,+21,"+27, +27, +27",,
Quasit,1,25,17,+4,+10,+7,+9,17,
Quatoid,7,120,25,+13,+15,+18,+16,27,17
Queen Sluagh,18,417 ( negative healing ),41,+35,+27,+33,"+31, +35, +35",41,
Quelaunt,15,305,36,+27,+26,+31,+30,39,
Quetz Coatl,10,175,30,+19,+19,+21,+23,29,
Quetzalcoatlus,7,110,25,+16,+17,+12,"+17, +17",,
Quickiron Plasm,4,65,20,+13,+8,+10,+12,,
Quickling,3,25,22,+6,+13,+8,+11,20,
Quintessivore,10,180,28,+22,+20,+21,+22,29,21
Quoppopak,11,195,31,+22,+23,+18,"+23, +24, +24, +24",,
Radiant Warden,17,300,40,+32,+29,+28,"+32, +32",38,
Raja-Kroodha,10,180,30,+18,+20,+18,"+20, +22, +23","29, 29",
Rakkatak,5,90,21,+14,+11,+9,"+15, +15",,
Raktavarna,1,20,16,+5,+9,+6,+9,16,
Rancorous Priesthood,11,195 (16 squares),31,+23,+17,+22,,27,19
Rat Snake Swarm,2,20,16,+8,+10,+6,,,
Rat Swarm,1,14,14,+2,+7,+4,,,
Ratfolk Grenadier,4,60,21,+11,+13,+9,"+12, +12, +13",,
Raven,-1,7,15,+2,+7,+5,+7,,
Raven Swarm,3,30,19,+7,+12,+9,,,
Ravener,21,500,47,+38,+34,+37,"+37, +37, +39, +39",44,
Ravener Husk,14,325,35,+28,+22,+26,"+30, +30",,
Raw Nerve,8,150 ( negative healing ),26,+14,+16,+19,+20,,
Reckless Scientist,6,92,23,+17,+14,+10,"+16, +17",,
Red Fox,-1,5,17,+5,+6,+3,+9,,
Redcap,5,60 ( fast healing  10),21,+11,+15,+10,"+13, +15, +15",,
Reef Octopus,1,20,17,+6,+9,+7,"+9, +9",,
Reefclaw,1,17,20,+7,+9,+4,+9,,
Rekhep,10,150,31,+23,+15,+19,+22,27,
Relictner Eroder,12,265 ( negative healing ),32,+25,+18,+21,"+21, +26",,
Remorhaz,7,120,25,+18,+15,+10,"+18, +18",,
Revenant,6,115 ( void healing ),23,+14,+13,+17,+17,,
Rhinoceros,4,70,22,+14,+8,+11,"+12, +14",,
Rhu-Chalik,6,95,23,+14,+11,+17,+15,24,
Riding Dog,1,20,16,+7,+5,+5,+7,,
Riding Horse,1,22,16,+9,+6,+5,+7,,
Riding Pony,0,16,14,+7,+4,+4,+5,,
Rift Chameleon,3,45,19,+10,+9,+8,"+11, +11, +11",,
Ringhorn Ram,0,15,16,+6,+6,+4,"+7, +7",,
River Drake,3,45,17,+11,+9,+7,"+12, +12",,
Roc,9,180,27,+20,+17,+16,"+21, +21, +21",,
Roiling Incant,9,155,25,+19,+17,+15,"+19, +19",30,20
Rokurokubi,2,30,18,+7,+8,+9,"+10, +10",,
Roper,10,215,29,+20,+15,+21,"+21, +23",,
Rosethorn Ram,2,30,18,+9,+10,+6,"+11, +11",,
Royal Basilisk,13,290,33,+26,+22,+23,"+24, +27, +27",,
Ruffian,2,32,18,+9,+8,+6,"+8, +8, +9",,
Rumindrol,15,295,37,+30,+26,+23,"+30, +30, +30",,
Rune Giant,16,330,38,+33,+26,+28,"+31, +32, +33",35,
Runecarved Lich,19,"330 ( negative healing , rejuvenation)",42,+27,+33,+36,"+31, +34",45,37
Rusalka,12,230,33,+21,+25,+21,+24,35,
Rust Monster,3,40,19,+8,+10,+6,"+8, +8, +10",,
Rust Scarab,5,65,21,+14,+9,+11,+15,,
Sabosan,5,78,22,+11,+14,+10,"+15, +15, +15, +16",,
Saboteur,2,27,18,+5,+9,+8,"+7, +9",,
Sacristan,10,175,30,+22,+19,+17,+22,29,
Sage,6,86,22,+10,+12,+16,+12,,
Salamander,7,125,26,+15,+16,+13,"+17, +18",,
Saltborn Stalkers,13,240 (16 squares),34,+22,+26,+20,,,
Samsaran Anchorite,1,16,15,+3,+7,+9,"+5, +7",17,
Sand Sentry,6,94,24,+16,+12,+14,+17,,
Sandpoint Devil,8,165,27,+19,+14,+16,"+20, +20",23,15
Sard,19,400,43,+35,+31,+33,"+35, +37, +37, +37",41,
Sargassum Heap,6,180,14,+17,+14,+10,+17,,
Sarglagon,8,120,27,+18,+13,+16,"+20, +20",23,18
Sasquatch,2,36,17,+11,+7,+6,"+9, +11",,
Satyr,4,80,19,+9,+11,+12,"+14, +14, +14",21,
Scalescribe,3,45,18,+6,+10,+11,"+10, +10",20,
Scarecrow,4,60,19,+13,+8,+11,+13,,
Sceaduinar,7,100 ( negative healing ),25,+16,+18,+14,"+18, +18",25,
Scorned Hound,1,22 ( negative healing ),15,+9,+7,+5,+9,,
Scorpion Swarm,4,55,21,+10,+13,+8,,,
Scroungefeather,5,76,21,+14,+16,+8,"+12, +12",,
Scythe Tree,6,105,24,+17,+8,+9,+18,,
Sea Devil Baron,6,95,24,+16,+14,+13,"+17, +17, +17, +17",,
Sea Devil Brute,4,60,21,+13,+11,+9,"+11, +14, +14, +14",,
Sea Devil Scout,2,30,18,+7,+10,+7,"+11, +11, +11, +12",,
Sea Drake,6,95,24,+16,+14,+12,"+17, +17",,
Sea Hag,3,45,19,+11,+8,+10,+12,,
Sea Serpent,12,210,35,+25,+21,+21,"+25, +27, +27",,
Sea Snake,0,15,16,+5,+9,+3,+7,,
Seaweed Leshy,3,45,19,+8,+11,+8,"+11, +11",20,
Sedacthy,6,95,23,+14,+13,+15,"+14, +16, +16, +17",,
Sedacthy Marauder,4,75,19,+14,+9,+9,"+11, +14, +14, +14",,
Sedacthy Scout,2,30,17,+7,+10,+7,"+10, +10, +10, +10",,
Seetangeist,12,160 ( negative healing ),32,+25,+22,+19,,,
Seething Spirit,11,145 ( negative healing ),29,+17,+23,+21,+22,32,
Sepid,14,350,34,+28,+23,+20,"+28, +30",34,
Seraptis,15,340,37,+27,+28,+25,"+30, +31, +32",35,
Servant,-1,9,15,+5,+7,+3,"+5, +5",,
Server,-1,7,16,+2,+7,+5,"+6, +6",,
Severed Head,-1,7 ( negative healing ),15,+4,+6,+4,+6,,
Sewer Ooze,1,40,8,+9,+1,+3,+9,,
Shabti Redeemer,4,75,24,+14,+8,+11,"+11, +14, +14","19, 19",
Shadern Immolator,1,21 ( negative healing ),15,+6,+9,+3,+9,,
Shadow,4,40 ( void healing ),20,+8,+14,+12,+15,,
Shadow Drake,2,28,17,+7,+10,+6,"+11, +11",,
Shadow Giant,13,275,33,+25,+20,+23,"+26, +27",,
Shae,4,45,21,+9,+11,+10,"+13, +13",21,
Shambler,6,120,22,+17,+11,+14,+17,,
Shambler Troop,4,90 (16 squares),18,+11,+8,+9,,,
Shantak,8,115,27,+18,+13,+16,"+20, +20",,
Shaukeen,1,22,16,+4,+9,+7,"+9, +9",17,
Shemhazian,16,350,39,+32,+26,+27,"+33, +33, +33, +33",37,
Shikigami,1,25,15,+7,+5,+9,"+7, +7, +7",17,
Shining Child,12,215,33,+22,+19,+19,"+25, +25",33,
Ship Captain,6,90,23,+12,+12,+14,"+14, +16, +17",,
Shoal Linnorm,15,295,38,+29,+25,+22,"+31, +31, +31",36,
Shocker Lizard,2,32,18,+7,+10,+7,"+10, +10",,
Shoggoth,18,275 ( fast healing  20),39,+33,+30,+30,+35,,
Shoggti,7,105,25,+16,+12,+14,"+18, +18",23,
Shotalashu,2,35,18,+8,+10,+11,+10,,
Shredskin,2,30 ( negative healing ),16,+6,+10,+8,"+10, +11",,
Shrine Skelm,5,80,22,+13,+12,+11,"+15, +15",22,
Shuln,12,195,33,+25,+19,+21,"+25, +25",,
Shulsaga,3,35,19,+7,+11,+10,"+9, +11",18,10
Siabrae,16,"218 ( negative healing , rejuvenation)",36,+28,+24,+31,+28,"41, 41",33
Silent Stalker,13,220 ( negative healing ),34,+22,+24,+22,+27,,
Silvanshee,1,20,17,+5,+9,+6,"+9, +9","16, 16",
Simurgh,18,350,41,+30,+29,+32,"+34, +34, +34, +34",42,
Sinspawn,2,30,16,+10,+9,+6,"+10, +10",,
Skaveling,5,80,22,+11,+13,+15,"+15, +15",,
Skeletal Champion,2,25 ( void healing ),19,+5,+10,+6,"+10, +10, +10",,
Skeletal Giant,3,50 ( void healing ),17,+8,+8,+7,"+12, +12",,
Skeletal Horse,2,33 ( void healing ),16,+6,+9,+8,+9,,
Skeletal Hulk,7,105 ( void healing ),25,+15,+15,+13,+18,,
Skeletal Mage,5,60 ( negative healing ),21,+9,+11,+13,+11,22,14
Skeletal Soldier,1,16 ( negative healing ),17,+6,+7,+5,"+9, +9, +9",,
Skeletal Titan,13,210 ( negative healing ),33,+23,+24,+21,"+24, +26, +26, +26",31,
Skeleton Guard,-1,4 ( void healing ),16,+2,+8,+2,"+6, +6, +6",,
Skeleton Infantry,11,180 (16 squares),31,+21,+18,+19,,,
Skinstitch,5,95,22,+16,+14,+7,"+15, +15",,
Skrik Nettle,6,130 ( fast healing 5 ),22,+10,+17,+14,+17,,
Skulk,1,21,16,+7,+8,+5,"+8, +8",,
Skull Peeler,6,75,24,+13,+16,+11,"+17, +17",,
Skulltaker,18,300 ( void healing ),42,+31,+33,+35,"+33, +35, +35",40,
Skum,2,40,16,+7,+7,+4,"+7, +10, +10, +10",,
Skunk,-1,7,15,+4,+7,+3,+7,,
Sky Fisher,11,200,30,+22,+22,+15,+24,,
Skymetal Striker,7,100,26,+15,+17,+13,"+17, +17",,
Slime Mold,2,60,12,+11,+3,+4,+8,,
Slithering Pit,7,220,14,+18,+6,+11,+18,,
Sluagh Reaper,10,175 ( negative healing ),29,+17,+21,+19,+23,26,
Slug,8,165,25,+21,+11,+14,"+17, +21, +21",,
Slurk,2,35,17,+10,+6,+4,"+9, +11",,
Smaranava,7,115,27,+15,+17,+15,"+20, +20",25,
Smilodon,6,110,23,+15,+12,+10,"+16, +16",,
Smith,3,50,17,+9,+8,+5,"+8, +10",,
Snapdrake,8,144,26,+16,+11,+19,"+14, +16",,
Snapping Flytrap,3,50,18,+12,+8,+7,+11,,
Snapping Turtle,-1,9,16,+8,+1,+3,+6,,
Snow Oni,13,290,33,+23,+25,+21,"+25, +27, +27",31,
Sod Hound,3,44,19,+12,+6,+7,+11,,
Solar,23,500,49,+40,+34,+37,"+40, +44",46,38
Solar Crow,10,170,30,+18,+22,+17,"+22, +22",,
Soniphak,9,180,27,+21,+21,+15,"+19, +19, +19",,
Sootsoldiers,10,165 (16 squares),30,+20,+21,+18,,,
Sorcerous Skull Swarm,14,190 ( negative healing ),34,+22,+26,+26,,36,26
Soul Eater,7,80,26,+13,+19,+15,+19,,
Soul Skelm,10,170,29,+19,+17,+21,"+22, +22, +23",29,
Soulbound Doll,2,23,17,+7,+10,+6,+10,18,10
Spark Bat,2,18,19,+5,+11,+7,+11,,
Spear Frog,0,12,14,+5,+7,+6,+7,,
Specter,7,95 ( negative healing ),25,+13,+17,+15,+16,,
Sphinx,8,135,27,+16,+14,+19,+20,27,
Spider Swarm,0,12,15,+4,+7,+2,,,
Spinosaurus,11,200,30,+23,+21,+19,"+23, +23",,
Spiny Eurypterid,5,70,22,+16,+11,+10,"+15, +15",,
Spiral Centurion,11,170,31,+22,+25,+16,+23,,
Spirit Naga,9,160,28,+15,+20,+18,+19,28,20
Sporeback Frog,5,94,21,+15,+12,+9,"+13, +15",,
Sportlebore Swarm,7,85,25,+15,+17,+13,,,
Spriggan Bully,3,48,19,+9,+11,+8,"+10, +11",20,
Spriggan Warlord,7,120,25,+13,+17,+14,"+18, +18",25,
Sprigjack,-1,10,15,+5,+7,+3,"+7, +7",,
Sprite,-1,7,15,+2,+8,+4,"+8, +8",16,
Spy,6,90,23,+11,+17,+14,"+14, +16",,
Squirming Swill,2,28 ( negative healing ),17,+11,+9,+6,"+9, +9",,
Squirrel Swarm,1,16,16,+5,+8,+4,,,
Star Archon,19,400,43,+31,+34,+34,"+38, +38",43,
Stargut Hydra,9,"150 ((body), hydra regeneration  HP  22 (head), head regrowth)",27,+21,+18,+14,+21,,
Steam Mephit,1,19 ( fast healing  2 (in boiling water or steam)),16,+9,+7,+5,+7,17,
Stegosaurus,7,125,23,+17,+13,+13,"+18, +18",,
Stheno Harpist,1,19,16,+8,+7,+4,"+7, +7, +7",17,
Stingray,0,15,16,+5,+7,+5,+7,,
Stone Bulwark,11,175,30,+24,+18,+19,"+22, +24",,
Stone Giant,8,150,27,+18,+14,+14,"+18, +20, +21",,
Stone Lion,4,50,21,+11,+9,+13,,21,
Stone Lion Cub,2,28,18,+6,+7,+10,,17,
Stone Mauler,9,180,27,+23,+15,+19,"+21, +21",,
Stonefish,0,15,16,+9,+6,+3,"+6, +7",,
Stonefish Swarm,2,25,16,+11,+8,+5,,,
Stony Bat,3,48,18,+9,+11,+7,+11,,
Stony Goat,2,28,17,+8,+11,+5,+8,,
Storm Giant,13,235,34,+28,+21,+23,"+27, +28, +37",33,
Storm Hag,5,95,21,+15,+9,+12,"+13, +15, +15",22,
Storm Lord,9,120,30,+15,+20,+16,"+20, +20",,
Storm Snake,5,70,21,+12,+15,+9,+12,,
Street Skelm,3,55,18,+10,+9,+8,"+9, +12, +12, +13",,
Striding Fire,6,115,24,+11,+17,+14,+17,,
String Slime,3,90,10,+12,+0,+5,+11,,
Strix Kinmate,2,24,18,+6,+10,+7,"+10, +10, +10",,
Sturzstromer,19,280,41,+33,+35,+29,,41,
Stygira,7,80,26,+15,+13,+19,+17,25,
Succubus,7,100,23,+15,+14,+17,+16,26,
Sulfur Zombie,6,125 ( negative healing ),23,+16,+12,+10,+17,,
Suli Dune Dancer,1,16,15,+3,+5,+5,+7,17,9
Sumbreiva,16,290 ( negative healing ),39,+25,+33,+27,"+33, +33, +33",36,
Sunflower Leshy,1,20,16,+4,+10,+7,"+6, +6",17,
Sunscale Serpent,14,251,36,+25,+26,+28,"+28, +28",31,
Surgeon,2,30,17,+7,+7,+10,"+11, +11",,
Sweet Hag,4,70,21,+11,+11,+12,+14,20,14
Swordfish,3,50,18,+10,+12,+7,+12,,
Swordkeeper,10,285,29,+21,+19,+14,"+23, +23, +23",,
Sykever,15,335 ( negative healing ),37,+25,+25,+31,"+31, +31",36,
Sylph Sneak,1,17,18,+4,+9,+8,"+9, +9",,
Tabellia,14,285,36,+27,+26,+22,+30,36,28
Taiga Giant,12,230,32,+25,+20,+22,"+25, +25, +26",,
Taiga Linnorm,19,385,44,+35,+31,+29,"+37, +37, +37",41,
Taldan Cave Squirrel,5,95,21,+13,+15,+9,"+13, +15, +15",,
Talos Gadgeteer,1,17 (plus 5 temporary HP (from ablative armor plating)),17,+6,+6,+5,"+6, +8, +8",14,
Tantriog,7,118,24,+18,+15,+12,"+13, +15, +15",25,
Tardigrade Swarm,12,140,28,+26,+21,+19,,,
Tarn Linnorm,20,400,46,+36,+32,+31,"+38, +38, +38",42,
Tattoo Guardian,3,50,19,+8,+11,+6,+10,,
Tatzlwyrm,2,30,18,+11,+5,+8,"+10, +10",,
Taunting Skull,5,80 ( negative healing ),22,+10,+14,+11,+14,,
Tax Collector,-1,8,14,+2,+3,+9,"+5, +5",,
Teacher,-1,5,12,+1,+2,+6,+4,,
Tendriculos,7,120,25,+17,+12,+13,"+18, +18",,
Tengu Sneak,2,27,19,+7,+10,+4,"+10, +10, +10",,
Terotricus,19,370,42,+34,+28,+33,"+37, +37",,
Terra-Cotta Garrison,13,240 (16 squares),27,+25,+19,+20,,,
Terra-Cotta Soldier,6,120,24,+17,+14,+10,"+16, +17",,
Terror Bird,2,30,17,+11,+9,+4,"+10, +10",,
Terror Shrike,4,60,20,+13,+12,+7,"+13, +13",,
